params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",2.253924,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",2.4645379999999997,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",2.571067,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",1.3043769999999988,100,4.5045045045045046e-05,0.0,0.0,0.0045045045045045045,0.000448192539237216
"{""discount_factor"": 0.4}",1.2450419999999998,100,0.00029223546993475036,0.0,0.0,0.01694915254237288,0.0018888219108533573
"{""discount_factor"": 0.5}",1.200367,100,0.002886678252396803,0.0,0.0,0.025,0.005977585036281571
"{""discount_factor"": 0.6}",1.1856279999999995,100,0.008485040026013992,0.005938443788387798,0.0,0.03571428571428571,0.009742625089676327
"{""discount_factor"": 0.7}",1.4117819999999988,100,0.008906388607624185,0.008368347338935574,0.0,0.037037037037037035,0.008873307056583159
"{""discount_factor"": 0.8}",1.2559720000000016,100,0.0104106291269374,0.010362972508591065,0.0,0.041666666666666664,0.009872519219721904
"{""discount_factor"": 0.9}",1.2765710000000006,100,0.013405038059016414,0.012507817385866166,0.0,0.038461538461538464,0.01088762369315949
